Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2024,Conference House,SI-CH17,Staten Island,40.4988301,-74.249422,SM-123,1,23,1,0.8889,0.3333,0.1111,1,1,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.4991157,-74.248961,SM-127,0,20,0,0.8889,0.3333,0.1111,0,1,1,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.4991157,-74.248961,SM-128,1,17,1,0.8889,0.3333,0.1111,0,0,1,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.499544,-74.249104,SM-138,1,27,0,0.8889,0.3333,0.1111,1,1,1,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.5001895,-74.248933,SM-139,0,23,5,0.8889,0.3333,0.1111,1,1,1,7.053165381,0.1406,9.31,33.33
2023,Conference House,SI-CH17,Staten Island,40.49934,-74.249762,SM-034,1,25,9,1.2,0.4,0,0,1,1,7.053165381,0.1406,6.25,21.43
2023,Conference House,SI-CH17,Staten Island,40.5000467,-74.249374,SM-030,0,17,21,1.2,0.4,0,0,1,2,7.053165381,0.1406,6.25,21.43
2024,Conference House,SI-CH17,Staten Island,40.5010571,-74.250446,SM-129,0,14,0,0.8889,0.3333,0.1111,0,0,1,7.053165381,0.1406,9.31,33.33
2023,Conference House,SI-CH17,Staten Island,40.49934,-74.249762,SM-033,1,23,4,1.2,0.4,0,1,1,1,7.053165381,0.1406,6.25,21.43
2024,Conference House,SI-CH17,Staten Island,40.4998372,-74.249679,SM-122,0,26,1,0.8889,0.3333,0.1111,1,1,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.499339,-74.249763,SM-135,0,22,1,0.8889,0.3333,0.1111,0,1,2,7.053165381,0.1406,9.31,33.33
2023,Conference House,SI-CH17,Staten Island,40.49934,-74.249762,SM-031,1,18,11,1.2,0.4,0,0,1,2,7.053165381,0.1406,6.25,21.43
2023,Conference House,SI-CH17,Staten Island,40.49934,-74.249762,SM-032,0,19,19,1.2,0.4,0,0,1,2,7.053165381,0.1406,6.25,21.43
2024,Conference House,SI-CH17,Staten Island,40.4991157,-74.248961,SM-134,0,22,0,0.8889,0.3333,0.1111,1,0,1,7.053165381,0.1406,9.31,33.33
2023,Conference House,SI-CH17,Staten Island,40.4992128,-74.249353,SM-037,0,16,12,1.2,0.4,0,0,0,1,7.053165381,0.1406,6.25,21.43
2023,Conference House,SI-CH17,Staten Island,40.4998622,-74.249274,SM-035,1,19,8,1.2,0.4,0,1,1,2,7.053165381,0.1406,6.25,21.43
2024,Conference House,SI-CH17,Staten Island,40.4988301,-74.249422,SM-121,1,26,1,0.8889,0.3333,0.1111,0,1,2,7.053165381,0.1406,9.31,33.33
2024,Fairview,SI-FW20,Staten Island,40.5322713,-74.231099,SM-132,0,23,5,1.4,0.5,0.3,1,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5321477,-74.23105,SM-133,0,23,1,1.4,0.5,0.3,1,1,2,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5322912,-74.233457,SM-140,1,16,1,1.4,0.5,0.3,0,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5324746,-74.233391,SM-141,1,29,1,1.4,0.5,0.3,0,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5321574,-74.233963,SM-130,1,25,0,1.4,0.5,0.3,0,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5322996,-74.233597,SM-131,0,25,21,1.4,0.5,0.3,0,1,2,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5322996,-74.233597,SM-144,1,30,6,1.4,0.5,0.3,1,1,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5322853,-74.231311,SM-145,0,22,2,1.4,0.5,0.3,1,1,2,37.25329959,0.2477,9.09,35.29
